"State","County","   Days per year with a heat index above 105°F   ",,,,,
"AR","Drew County",9,42,56,51,93,42
"AR","Faulkner County",7,40,53,47,85,40
"AR","Franklin County",7,37,51,44,81,38
"AR","Fulton County",3,27,40,33,68,27
"AR","Garland County",8,40,54,47,86,41
"AR","Grant County",8,42,56,50,90,43
"AR","Greene County",5,35,47,42,77,35
"AR","Hempstead County",11,48,62,56,96,48
"AR","Hot Spring County",8,41,56,49,89,42
"AR","Howard County",9,43,56,50,90,43
"AR","Independence County",5,32,44,38,75,32
"AR","Izard County",4,29,41,35,70,29
"AR","Jackson County",6,38,49,44,80,38
"AR","Jefferson County",8,40,54,47,88,40
"AR","Johnson County",5,29,43,35,73,29
"AR","Lafayette County",12,53,66,61,101,53
"AR","Lawrence County",6,36,48,42,77,36
"AR","Lee County",6,38,49,45,82,38
"AR","Lincoln County",8,41,55,49,90,41
"AR","Little River County",11,53,66,61,101,53
"AR","Logan County",12,49,62,55,92,49
"AR","Lonoke County",6,36,49,43,83,36
"AR","Madison County",1,17,30,23,62,17
"AR","Marion County",3,25,38,31,67,25
"AR","Miller County",11,53,66,62,101,54
"AR","Mississippi County",6,38,49,45,79,38
"AR","Monroe County",6,36,48,43,81,36
"AR","Montgomery County",8,41,54,48,86,41
"AR","Nevada County",12,50,64,58,98,50
"AR","Newton County",1,14,27,20,57,14
"AR","Ouachita County",10,47,62,55,96,48
"AR","Perry County",10,43,58,50,89,44
"AR","Phillips County",7,40,52,48,86,40
"AR","Pike County",8,40,54,48,87,41
"AR","Poinsett County",6,39,50,46,82,40
"AR","Polk County",6,35,49,42,83,35
"AR","Pope County",6,34,47,40,78,34
"AR","Prairie County",7,37,49,44,83,37
"AR","Pulaski County",8,41,55,48,87,41
"AR","Randolph County",5,34,46,41,76,35
"AR","Saline County",8,40,55,48,88,41
"AR","Scott County",10,44,57,51,88,44
"AR","Searcy County",2,22,35,28,65,22
"AR","Sebastian County",11,47,60,54,91,48
"AR","Sevier County",12,52,66,60,99,53
"AR","Sharp County",5,33,45,39,74,33
"AR","St. Francis County",6,38,49,45,82,39
"AR","Stone County",3,26,39,32,68,26
"AR","Union County",11,50,65,58,100,51
"AR","Van Buren County",3,24,38,31,68,24
"AR","Washington County",2,20,34,27,66,20
"AR","White County",6,36,49,43,81,37
"AR","Woodruff County",7,38,50,45,82,38
"AR","Yell County",10,45,59,52,89,46
"AZ","Apache County",0,0,0,0,2,0
"AZ","Cochise County",0,1,3,2,16,1
"AZ","Coconino County",0,0,1,1,6,0
"AZ","Gila County",0,3,6,5,17,3
"AZ","Graham County",0,2,5,4,21,2
"AZ","Greenlee County",0,1,2,1,9,1
"AZ","La Paz County",21,59,71,68,94,59
"AZ","Maricopa County",19,56,68,65,92,56
"AZ","Mohave County",2,10,15,13,30,10
"AZ","Navajo County",0,0,0,0,3,0
"AZ","Pima County",8,34,45,42,74,34
"AZ","Pinal County",12,42,54,50,81,42
"AZ","Santa Cruz County",0,1,3,2,16,1
"AZ","Yavapai County",0,3,6,5,18,3
"AZ","Yuma County",30,71,82,80,104,71
"CA","Alameda County",0,1,1,1,6,1
"CA","Alpine County",0,0,0,0,0,0
"CA","Amador County",0,5,8,7,24,5
"CA","Butte County",1,8,13,12,32,8
"CA","Calaveras County",0,5,8,7,25,5
"CA","Colusa County",1,10,15,14,38,10
"CA","Contra Costa County",0,2,4,3,14,2
"CA","Del Norte County",0,0,0,0,0,0
"CA","El Dorado County",0,1,3,2,10,1
"CA","Fresno County",1,8,12,11,29,8
"CA","Glenn County",1,10,16,14,36,10
"CA","Humboldt County",0,0,1,1,5,0
"CA","Imperial County",27,69,82,79,104,69
"CA","Inyo County",5,12,15,14,26,12
"CA","Kern County",1,6,10,9,28,6
"CA","Kings County",2,15,23,22,52,15
"CA","Lake County",0,2,3,3,12,2
"CA","Lassen County",0,0,0,0,0,0
"CA","Los Angeles County",0,1,3,2,12,1
"CA","Madera County",1,9,14,13,33,9
"CA","Marin County",0,0,0,0,2,0
"CA","Mariposa County",0,4,7,7,20,4
"CA","Mendocino County",0,1,1,1,6,1
"CA","Merced County",1,10,15,14,39,10
"CA","Modoc County",0,0,0,0,1,0
"CA","Mono County",0,0,0,0,0,0
"CA","Monterey County",0,1,2,2,9,1
"CA","Napa County",0,3,5,4,17,3
"CA","Nevada County",0,1,2,2,9,1
"CA","Orange County",0,1,1,1,11,1
"CA","Placer County",0,3,4,4,13,3
"CA","Plumas County",0,0,0,0,0,0
"CA","Riverside County",12,34,42,40,63,34
"CA","Sacramento County",1,8,12,12,35,8
"CA","San Benito County",0,1,2,2,10,1
"CA","San Bernardino County",6,20,27,25,49,20
"CA","San Diego County",2,9,13,12,26,9
"CA","San Francisco County",0,0,0,0,0,0
"CA","San Joaquin County",0,7,12,11,33,7
"CA","San Luis Obispo County",0,1,3,2,11,1
"CA","San Mateo County",0,0,0,0,2,0
"CA","Santa Barbara County",0,0,0,0,3,0
"CA","Santa Clara County",0,0,1,1,6,0
"CA","Santa Cruz County",0,0,0,0,3,0
"CA","Shasta County",0,3,6,5,16,3
"CA","Sierra County",0,0,0,0,0,0
"CA","Siskiyou County",0,0,1,0,3,0
"CA","Solano County",0,5,9,8,25,5
"CA","Sonoma County",0,0,1,1,5,0
"CA","Stanislaus County",0,7,11,10,31,7
"CA","Sutter County",2,12,18,17,44,12
"CA","Tehama County",1,7,11,10,28,7
"CA","Trinity County",0,1,1,1,6,0
"CA","Tulare County",1,7,10,10,25,7
"CA","Tuolumne County",0,1,2,2,7,1
"CA","Ventura County",0,1,1,1,6,1
"CA","Yolo County",1,10,15,14,38,10
"CA","Yuba County",1,7,12,11,32,7
"CO","Adams County",0,0,0,0,3,0
"CO","Alamosa County",0,0,0,0,0,0
"CO","Arapahoe County",0,0,0,0,1,0
"CO","Archuleta County",0,0,0,0,0,0
"CO","Baca County",0,0,1,0,14,0
"CO","Bent County",0,0,2,1,19,0
"CO","Boulder County",0,0,0,0,1,0
"CO","Broomfield County",0,0,0,0,2,0
"CO","Chaffee County",0,0,0,0,0,0
"CO","Cheyenne County",0,0,0,0,9,0
"CO","Clear Creek County",0,0,0,0,0,0
"CO","Conejos County",0,0,0,0,0,0
"CO","Costilla County",0,0,0,0,0,0
"CO","Crowley County",0,0,1,0,10,0
"CO","Custer County",0,0,0,0,0,0
"CO","Delta County",0,0,0,0,1,0
"CO","Denver County",0,0,0,0,1,0
"CO","Dolores County",0,0,0,0,0,0
"CO","Douglas County",0,0,0,0,0,0
"CO","Eagle County",0,0,0,0,0,0
"CO","El Paso County",0,0,0,0,0,0
"CO","Elbert County",0,0,0,0,0,0
"CO","Fremont County",0,0,0,0,0,0
"CO","Garfield County",0,0,0,0,0,0
"CO","Gilpin County",0,0,0,0,0,0
"CO","Grand County",0,0,0,0,0,0
"CO","Gunnison County",0,0,0,0,0,0
"CO","Hinsdale County",0,0,0,0,0,0
"CO","Huerfano County",0,0,0,0,0,0
"CO","Jackson County",0,0,0,0,0,0
"CO","Jefferson County",0,0,0,0,0,0
"CO","Kiowa County",0,0,1,0,13,0
"CO","Kit Carson County",0,0,0,0,7,0
"CO","La Plata County",0,0,0,0,0,0
"CO","Lake County",0,0,0,0,0,0
"CO","Larimer County",0,0,0,0,0,0
"CO","Las Animas County",0,0,0,0,2,0
"CO","Lincoln County",0,0,0,0,2,0
"CO","Logan County",0,0,0,0,7,0
"CO","Mesa County",0,0,0,0,2,0
"CO","Mineral County",0,0,0,0,0,0
"CO","Moffat County",0,0,0,0,0,0
"CO","Montezuma County",0,0,0,0,2,0
"CO","Montrose County",0,0,0,0,1,0
"CO","Morgan County",0,0,0,0,5,0
"CO","Otero County",0,0,1,0,14,0
"CO","Ouray County",0,0,0,0,0,0
"CO","Park County",0,0,0,0,0,0
"CO","Phillips County",0,0,1,1,11,0
"CO","Pitkin County",0,0,0,0,0,0
"CO","Prowers County",0,0,3,1,21,0
"CO","Pueblo County",0,0,0,0,5,0
"CO","Rio Blanco County",0,0,0,0,0,0
"CO","Rio Grande County",0,0,0,0,0,0
"CO","Routt County",0,0,0,0,0,0
"CO","Saguache County",0,0,0,0,0,0
"CO","San Juan County",0,0,0,0,0,0
"CO","San Miguel County",0,0,0,0,1,0
"CO","Sedgwick County",0,0,2,1,13,0
"CO","Summit County",0,0,0,0,0,0
"CO","Teller County",0,0,0,0,0,0
"CO","Washington County",0,0,0,0,5,0
"CO","Weld County",0,0,0,0,2,0
"CO","Yuma County",0,0,1,1,12,0
"CT","Fairfield County",0,4,9,7,26,4
"CT","Hartford County",0,3,7,5,21,3
"CT","Litchfield County",0,1,3,2,14,1
"CT","Middlesex County",0,2,5,4,19,2
"CT","New Haven County",0,3,7,5,22,3
"CT","New London County",0,2,5,4,19,2
"CT","Tolland County",0,1,3,2,14,1
"CT","Windham County",0,2,4,3,16,2
"DC","District of Columbia",2,14,23,19,48,14
"DE","Kent County",1,9,17,13,40,9
"DE","New Castle County",1,10,17,14,40,10
"DE","Sussex County",2,11,19,15,44,11
"FL","Alachua County",3,35,55,46,103,35
"FL","Baker County",4,32,51,43,96,33
"FL","Bay County",2,20,36,29,84,20
"FL","Bradford County",3,29,48,39,93,30
"FL","Brevard County",2,28,51,40,104,28
"FL","Broward County",5,51,80,70,132,52
"FL","Calhoun County",5,28,45,39,92,29
"FL","Charlotte County",3,50,78,68,130,50
"FL","Citrus County",3,44,68,58,116,45
"FL","Clay County",4,33,51,43,96,33
"FL","Collier County",16,83,108,101,149,84
"FL","Columbia County",4,34,54,45,100,35
"FL","DeSoto County",3,45,71,62,125,45
"FL","Dixie County",2,32,54,45,102,32
"FL","Duval County",3,29,47,39,92,29
"FL","Escambia County",2,23,42,33,87,24
"FL","Flagler County",3,30,49,41,97,30
"FL","Franklin County",3,29,48,40,95,29
"FL","Gadsden County",4,30,47,40,93,30
"FL","Gilchrist County",4,39,60,51,107,39
"FL","Glades County",4,47,74,64,126,47
"FL","Gulf County",2,20,37,30,85,20
"FL","Hamilton County",4,33,51,43,97,33
"FL","Hardee County",3,47,72,64,124,47
"FL","Hendry County",8,62,89,80,138,62
"FL","Hernando County",5,56,80,71,127,56
"FL","Highlands County",4,47,73,64,125,47
"FL","Hillsborough County",4,51,77,68,127,52
"FL","Holmes County",4,23,38,32,82,24
"FL","Indian River County",3,34,58,49,113,35
"FL","Jackson County",5,30,47,40,92,31
"FL","Jefferson County",5,33,52,44,98,34
"FL","Lafayette County",4,36,56,48,103,36
"FL","Lake County",3,37,59,49,108,37
"FL","Lee County",2,49,78,68,130,49
"FL","Leon County",5,32,51,43,97,33
"FL","Levy County",3,39,61,53,110,40
"FL","Liberty County",4,27,45,38,92,28
"FL","Madison County",4,34,53,45,99,34
"FL","Manatee County",3,48,74,65,126,48
"FL","Marion County",3,38,59,50,107,38
"FL","Martin County",3,39,68,57,121,40
"FL","Miami-Dade County",7,60,88,79,138,60
"FL","Monroe County",12,77,104,95,146,78
"FL","Nassau County",4,31,48,41,92,32
"FL","Okaloosa County",3,24,40,33,87,24
"FL","Okeechobee County",4,40,66,57,120,41
"FL","Orange County",3,37,61,51,112,38
"FL","Osceola County",4,40,65,55,116,41
"FL","Palm Beach County",4,44,72,63,126,45
"FL","Pasco County",5,55,81,71,128,56
"FL","Pinellas County",2,50,80,67,125,51
"FL","Polk County",3,43,68,58,120,43
"FL","Putnam County",5,37,57,48,104,37
"FL","Santa Rosa County",2,23,40,32,85,23
"FL","Sarasota County",5,59,86,77,135,60
"FL","Seminole County",3,33,55,45,106,34
"FL","St. Johns County",3,27,46,37,92,28
"FL","St. Lucie County",3,37,63,54,117,38
"FL","Sumter County",3,42,65,55,115,42
"FL","Suwannee County",5,37,57,49,103,38
"FL","Taylor County",5,40,60,52,106,40
"FL","Union County",3,31,50,42,96,32
"FL","Volusia County",2,26,45,36,94,26
"FL","Wakulla County",6,39,58,50,104,40
"FL","Walton County",3,24,40,33,86,24
"FL","Washington County",4,26,41,35,88,26
"GA","Appling County",6,32,48,40,88,32
"GA","Atkinson County",5,31,47,40,90,31
"GA","Bacon County",5,30,47,39,89,31
"GA","Baker County",7,35,52,44,94,36
"GA","Baldwin County",5,28,42,35,79,29
"GA","Banks County",1,13,22,17,54,13
"GA","Barrow County",1,16,27,22,60,16
"GA","Bartow County",1,15,26,21,60,15
"GA","Ben Hill County",6,32,48,41,89,33
"GA","Berrien County",4,30,46,39,90,30
"GA","Bibb County",5,28,42,35,80,29
"GA","Bleckley County",6,31,45,39,84,31
"GA","Brantley County",5,33,50,42,92,33
"GA","Brooks County",4,31,49,41,93,32
"GA","Bryan County",8,35,51,44,91,35
"GA","Bulloch County",10,40,56,49,95,40
"GA","Burke County",5,27,40,34,78,27
"GA","Butts County",3,24,37,31,73,24
"GA","Calhoun County",4,27,42,35,85,28
"GA","Camden County",4,30,47,39,91,30
"GA","Candler County",8,38,55,47,94,38
"GA","Carroll County",1,11,21,16,55,11
"GA","Catoosa County",1,16,27,22,60,16
"GA","Charlton County",6,39,57,50,99,40
"GA","Chatham County",5,28,44,36,85,28
"GA","Chattahoochee County",3,27,41,34,79,27
"GA","Chattooga County",1,18,29,23,63,18
"GA","Cherokee County",0,8,15,12,44,8
"GA","Clarke County",2,18,29,24,63,18
"GA","Clay County",4,26,40,34,83,27
"GA","Clayton County",1,17,28,23,63,17
"GA","Clinch County",5,34,51,44,94,34
"GA","Cobb County",1,11,21,16,53,12
"GA","Coffee County",6,32,48,41,90,33
"GA","Colquitt County",5,30,46,38,88,31
"GA","Columbia County",3,22,35,29,70,22
"GA","Cook County",5,33,49,42,92,33
"GA","Coweta County",1,17,29,24,66,18
"GA","Crawford County",4,26,40,34,78,27
"GA","Crisp County",8,37,53,46,92,38
"GA","Dade County",1,13,23,18,55,13
"GA","Dawson County",0,4,10,6,33,4
"GA","Decatur County",7,37,55,48,99,38
"GA","DeKalb County",1,13,23,18,55,13
"GA","Dodge County",7,33,48,41,88,33
"GA","Dooly County",6,33,48,41,87,34
"GA","Dougherty County",7,36,52,45,93,37
"GA","Douglas County",1,12,22,17,56,12
"GA","Early County",5,31,47,39,90,32
"GA","Echols County",4,33,51,43,95,34
"GA","Effingham County",9,36,52,45,92,37
"GA","Elbert County",2,16,27,22,61,17
"GA","Emanuel County",6,32,47,40,86,32
"GA","Evans County",8,36,52,45,91,36
"GA","Fannin County",0,4,10,6,34,4
"GA","Fayette County",1,17,29,23,64,17
"GA","Floyd County",2,17,29,23,63,17
"GA","Forsyth County",0,8,15,11,44,8
"GA","Franklin County",1,17,28,22,62,17
"GA","Fulton County",1,12,21,17,54,12
"GA","Gilmer County",0,5,10,7,35,5
"GA","Glascock County",3,22,34,28,71,22
"GA","Glynn County",5,35,54,45,94,36
"GA","Gordon County",2,18,30,24,64,18
"GA","Grady County",5,32,49,42,94,33
"GA","Greene County",3,22,34,28,70,23
"GA","Gwinnett County",1,11,20,15,51,11
"GA","Habersham County",0,5,11,7,37,5
"GA","Hall County",0,7,15,11,43,7
"GA","Hancock County",3,23,35,29,71,23
"GA","Haralson County",1,10,20,15,52,10
"GA","Harris County",1,18,30,25,67,19
"GA","Hart County",1,16,27,22,60,17
"GA","Heard County",2,17,29,24,66,18
"GA","Henry County",2,20,32,26,68,20
"GA","Houston County",5,30,44,38,83,31
"GA","Irwin County",5,32,48,41,89,33
"GA","Jackson County",1,15,25,20,57,15
"GA","Jasper County",3,23,35,30,72,23
"GA","Jeff Davis County",6,31,47,40,87,32
"GA","Jefferson County",4,26,39,33,77,26
"GA","Jenkins County",7,34,49,42,87,34
"GA","Johnson County",6,29,43,37,82,30
"GA","Jones County",4,26,38,32,76,26
"GA","Lamar County",3,24,36,31,73,24
"GA","Lanier County",4,30,47,39,91,30
"GA","Laurens County",7,34,49,42,88,34
"GA","Lee County",7,34,49,42,90,35
"GA","Liberty County",8,36,54,46,94,37
"GA","Lincoln County",3,23,36,29,71,23
"GA","Long County",9,40,57,49,96,40
"GA","Lowndes County",4,32,49,41,93,32
"GA","Lumpkin County",0,3,8,5,30,3
"GA","Macon County",5,30,44,37,83,30
"GA","Madison County",2,18,29,23,62,18
"GA","Marion County",2,23,36,30,75,24
"GA","McDuffie County",2,20,32,26,68,20
"GA","McIntosh County",4,31,50,40,89,32
"GA","Meriwether County",2,21,34,28,71,22
"GA","Miller County",7,36,53,46,96,37
"GA","Mitchell County",7,35,52,45,94,36
"GA","Monroe County",4,26,39,33,76,26
"GA","Montgomery County",6,30,45,38,86,31
"GA","Morgan County",3,21,33,28,69,22
"GA","Murray County",1,16,26,21,59,16
"GA","Muscogee County",2,24,36,30,74,24
"GA","Newton County",2,19,30,25,66,19
"GA","Oconee County",2,19,31,25,65,20
"GA","Oglethorpe County",2,19,31,25,65,19
"GA","Paulding County",1,14,24,19,58,14
"GA","Peach County",4,25,38,32,77,26
"GA","Pickens County",0,6,12,9,38,6
"GA","Pierce County",6,35,52,44,93,35
"GA","Pike County",3,22,35,29,72,23
"GA","Polk County",2,16,27,22,62,16
"GA","Pulaski County",6,33,48,41,87,33
"GA","Putnam County",4,25,38,32,75,25
"GA","Quitman County",4,26,40,34,80,27
"GA","Rabun County",0,2,6,3,26,2
"GA","Randolph County",5,29,43,37,85,29
"GA","Richmond County",3,23,35,29,72,23
"GA","Rockdale County",1,17,28,23,62,17
"GA","Schley County",4,27,41,34,80,27
"GA","Screven County",8,35,50,43,89,35
"GA","Seminole County",7,37,55,48,98,38
"GA","Spalding County",2,19,30,25,67,19
"GA","Stephens County",1,14,24,19,57,14
"GA","Stewart County",3,26,39,33,79,26
"GA","Sumter County",5,29,43,36,82,29
"GA","Talbot County",3,23,35,30,74,23
"GA","Taliaferro County",3,22,34,28,70,22
"GA","Tattnall County",7,33,49,42,89,33
"GA","Taylor County",4,26,40,34,79,27
"GA","Telfair County",6,31,46,39,87,31
"GA","Terrell County",5,29,43,37,84,29
"GA","Thomas County",4,29,46,39,91,30
"GA","Tift County",4,29,45,37,87,30
"GA","Toombs County",6,31,46,39,87,31
"GA","Towns County",0,1,6,2,24,1
"GA","Treutlen County",6,31,46,39,86,32
"GA","Troup County",2,20,33,27,71,21
"GA","Turner County",5,29,44,37,85,29
"GA","Twiggs County",5,29,43,36,81,30
"GA","Union County",0,2,6,3,26,2
"GA","Upson County",5,29,43,36,81,29
"GA","Walker County",1,14,24,19,57,14
"GA","Walton County",1,17,27,22,61,17
"GA","Ware County",6,37,55,48,97,38
"GA","Warren County",2,20,32,26,69,21
"GA","Washington County",4,24,37,31,74,24
"GA","Wayne County",7,36,53,46,93,37
"GA","Webster County",3,25,38,32,78,25
"GA","Wheeler County",6,32,47,40,87,32
"GA","White County",0,2,8,4,29,3
"GA","Whitfield County",1,19,31,25,65,19
"GA","Wilcox County",6,33,49,42,89,34
"GA","Wilkes County",3,22,35,28,70,23
"GA","Wilkinson County",7,33,48,41,86,34
"GA","Worth County",5,31,46,39,88,32
"IA","Adair County",2,12,19,16,43,12
"IA","Adams County",2,12,19,16,43,12
"IA","Allamakee County",1,7,11,11,31,7
"IA","Appanoose County",2,13,21,18,45,13
"IA","Audubon County",2,10,17,14,40,10
"IA","Benton County",2,12,17,17,39,11
"IA","Black Hawk County",1,10,15,15,37,10
"IA","Boone County",2,11,17,16,40,11
"IA","Bremer County",1,9,14,14,36,9
"IA","Buchanan County",1,9,14,14,35,9
"IA","Buena Vista County",1,6,11,10,31,7
"IA","Butler County",2,11,16,16,39,11
"IA","Calhoun County",1,9,14,13,37,9
"IA","Carroll County",2,9,15,13,38,9
"IA","Cass County",2,11,18,15,43,11
"IA","Cedar County",2,13,19,18,41,13
"IA","Cerro Gordo County",1,8,12,13,33,8
"IA","Cherokee County",1,7,12,10,33,7
"IA","Chickasaw County",1,9,13,14,34,8
"IA","Clarke County",2,12,20,17,44,12
"IA","Clay County",1,7,11,10,32,7
"IA","Clayton County",1,9,13,13,34,8
"IA","Clinton County",2,12,17,16,39,11
"IA","Crawford County",2,9,14,12,37,9
"IA","Dallas County",2,12,18,16,42,12
"IA","Davis County",3,16,24,22,49,16
"IA","Decatur County",2,12,20,16,44,12
"IA","Delaware County",1,8,12,12,33,8
"IA","Des Moines County",3,17,23,22,48,17
"IA","Dickinson County",1,5,10,8,29,5
"IA","Dubuque County",1,8,13,13,33,8
"IA","Emmet County",0,6,10,9,30,6
"IA","Fayette County",1,7,12,12,32,7
"IA","Floyd County",2,10,14,15,36,10
"IA","Franklin County",1,9,13,14,35,8
"IA","Fremont County",4,17,26,22,52,17
"IA","Greene County",2,11,18,16,41,11
"IA","Grundy County",1,10,15,15,37,10
"IA","Guthrie County",2,11,17,15,41,11
"IA","Hamilton County",1,9,15,14,37,9
"IA","Hancock County",1,8,12,12,33,7
"IA","Hardin County",1,10,15,15,37,10
"IA","Harrison County",2,11,18,15,43,12
"IA","Henry County",4,19,25,24,50,18
"IA","Howard County",1,6,9,10,29,6
"IA","Humboldt County",1,8,13,12,34,8
"IA","Ida County",1,8,13,11,35,8
"IA","Iowa County",2,14,20,19,43,13
"IA","Jackson County",2,10,14,14,35,9
"IA","Jasper County",2,13,19,18,43,13
"IA","Jefferson County",4,18,26,24,50,18
"IA","Johnson County",3,15,21,20,45,15
"IA","Jones County",2,11,16,15,37,11
"IA","Keokuk County",3,15,22,20,46,15
"IA","Kossuth County",1,7,12,11,33,7
"IA","Lee County",3,18,26,24,51,18
"IA","Linn County",2,12,17,17,40,12
"IA","Louisa County",3,18,25,23,49,18
"IA","Lucas County",2,14,21,18,45,14
"IA","Lyon County",1,6,11,9,31,7
"IA","Madison County",2,12,19,16,43,12
"IA","Mahaska County",2,14,21,19,44,14
"IA","Marion County",3,15,22,20,46,15
"IA","Marshall County",2,11,17,16,39,11
"IA","Mills County",3,14,23,19,48,14
"IA","Mitchell County",1,7,11,12,31,7
"IA","Monona County",2,11,18,15,41,11
"IA","Monroe County",3,14,21,19,45,14
"IA","Montgomery County",3,14,22,18,47,14
"IA","Muscatine County",3,17,23,22,47,16
"IA","O'Brien County",1,7,12,10,33,7
"IA","Osceola County",0,5,9,8,28,5
"IA","Page County",3,15,24,20,50,15
"IA","Palo Alto County",1,7,12,11,33,7
"IA","Plymouth County",1,8,14,12,35,8
"IA","Pocahontas County",1,8,13,12,34,8
"IA","Polk County",2,12,19,17,42,12
"IA","Pottawattamie County",2,11,19,15,43,12
"IA","Poweshiek County",2,13,19,18,42,13
"IA","Ringgold County",2,12,19,16,44,12
"IA","Sac County",1,8,12,11,34,8
"IA","Scott County",2,14,19,19,42,14
"IA","Shelby County",2,10,16,13,39,10
"IA","Sioux County",1,7,12,11,33,8
"IA","Story County",1,10,16,14,38,10
"IA","Tama County",2,11,17,16,39,11
"IA","Taylor County",2,13,20,17,46,13
"IA","Union County",2,12,19,16,43,12
"IA","Van Buren County",4,20,28,25,52,20
"IA","Wapello County",3,15,22,20,47,15
"IA","Warren County",2,13,21,18,45,13
"IA","Washington County",3,18,25,23,49,18
"IA","Wayne County",2,12,19,16,43,12
"IA","Webster County",1,9,14,13,36,9
"IA","Winnebago County",1,7,12,12,32,7
"IA","Winneshiek County",1,6,10,10,29,6
"IA","Woodbury County",2,9,15,13,37,9
"IA","Worth County",1,7,11,12,31,7
"IA","Wright County",1,8,13,13,34,8
"ID","Ada County",0,0,2,1,11,0
"ID","Adams County",0,0,0,0,3,0
"ID","Bannock County",0,0,0,0,2,0
"ID","Bear Lake County",0,0,0,0,0,0
"ID","Benewah County",0,0,0,0,3,0
"ID","Bingham County",0,0,0,0,2,0
"ID","Blaine County",0,0,0,0,1,0
"ID","Boise County",0,0,0,0,1,0
"ID","Bonner County",0,0,0,0,2,0
"ID","Bonneville County",0,0,0,0,1,0
"ID","Boundary County",0,0,0,0,2,0
"ID","Butte County",0,0,0,0,1,0
